default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
PFBRF0203201;CERAUBA T1 BIO;All / Fournisseurs / Matières premières / Baerlocher;BAERLOCHER;;;VRAI;;;;;;Article stockable;;Beurres

;;;;;;;;;;;;;;

PFTTF0203301;CIRE D'ABEILLE;All / Fournisseurs / Matières premières / Brenntag;BRENNTAG;85,2;;VRAI;;;;;;Article stockable;;Texturants

PFATF0203301;TIO2;All / Fournisseurs / Matières premières / Brenntag;BRENNTAG;;;VRAI;;;;;;Article stockable;;Autres

;;;;;;;;;;;;;;

PFPLF0200601;ARNICA MONTANA ;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;134,20;;VRAI;;;;;;Article stockable;;Plantes

PFPLF0200602;HAMAMELIS BIO;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;33,50;;VRAI;;;;;;Article stockable;;Plantes

PFPLF0200603;MARRON D'INDE;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;7,9;;VRAI;;;;;;Article stockable;;Plantes

PFPLF0200604;ANGELIQUE BIO;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;3,33;;VRAI;;;;;;Article stockable;;Plantes

PFPLF0200605;BLEUET BIO;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;;;VRAI;;;;;;Article stockable;;Plantes

PFPLF0200606;IRIS ;All / Fournisseurs / Matières premières / Cailleau Herboristerie;CAILLEAU HERBORISTERIE;;;VRAI;;;;;;Article stockable;;Plantes

;;;;;;;;;;;;;;

PFPFF0200301;OUD 1340 CHASSEUR D'ESSENCE;All / Fournisseurs / Matières premières / Chasseur d'essence;CHASSEUR D'ESSENCE;;;VRAI;;;;;;Article stockable;;Parfums

;;;;;;;;;;;;;;

PFACF0200501;ALPHA BISABOLOL;All / Fournisseurs / Matières premières / Chimie distribution;CHIMIE DISTRIBUTION;270;;VRAI;;;1 KG;;BIDON;Article stockable;;Actifs

PFACF0200502;NIAMICIE VIT B3;All / Fournisseurs / Matières premières / Chimie distribution;CHIMIE DISTRIBUTION;14,2;;VRAI;;;;;;Article stockable;;Actifs

;;;;;;;;;;;;;;

PFACF0200401;UREE;All / Fournisseurs / Matières premières / Cooper;COOPER;19,20;;VRAI;;;;;;Article stockable;;Actifs

PFACF0200402;ACIDE ASCORBIQUE;All / Fournisseurs / Matières premières / Cooper;COOPER;99;;VRAI;;;;;;Article stockable;;Actifs

